message_id,text,timestamp,time_in_seconds,author_name,author_id
ChwKGkNLRDBzWXk1aFlrREZTTE1sQWtkbEVFVnpR,:dotted_line_face:,1728619404362156,12670.709,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNLTDR0cEc1aFlrREZic3FyUVlkc2lFRkhn,F,1728619414940761,12681.347,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNNRHNwcUc1aFlrREZXdk93Z1Fkb1J3cWd3,nyea,1728619448221832,12714.625,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNOT3M1cTI1aFlrREZkSUtyUVlkT21nVDl3,the surprise shall arrive next week,1728619474428997,12740.845,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKS05sYS01aFlrREZTVTVzd0FkZk00a01n,"SEE YOU, IM LEAVING AAAAAAA",1728619477291612,12743.655,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNPYkx6Yks1aFlrREZaTEJsQWtkdzU0QkxR,Nyanyame nyanyajyuunyanya-do no nyarabi de nyakunyaku inyanyaku nyanyahan nyanyadai nyanynaku nyarabete nyaganyagame.,1728619484508088,12750.84,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNLLVgyYlc1aFlrREZYalVsQWtkQzh3YjJR,good night,1728619490990209,12757.343,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNNcW1oYnE1aFlrREZXTXFyUVlkb2RJVWd3,good luck with your game,1728619500099673,12766.489,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNOYnhyYnU1aFlrREZTTE1sQWtkbEVFVnpR,:bread::hot_beverage::peach::baguette_bread::spaghetti::cooked_rice:,1728619502863286,12769.181,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNPcXl0TDY1aFlrREZVZ3NyUVlkcG1ZU2d3,try not to have a heart attack,1728619509259524,12775.651,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJanhzOGU1aFlrREZaWFJsQWtkdFRnYjFR,bye,1728619528127684,12794.493,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNNV3UxTXE1aFlrREZYclp3Z1FkTnlRTVd3,"good night, good meal and good rest y'all",1728619534950750,12801.37,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNNNjYyTkM1aFlrREZjZkxGZ2tkZXdvNE9R,hasta mañana :D,1728619547601510,12813.929,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNKTzgwZFM1aFlrREZWVGNGZ2tkbmo4SUJB,bye :DDDDDDD,1728619555874745,12822.246,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNNbjQ1TnE1aFlrREZRakxGZ2tkdDRvbFB3,:croissant:,1728619568776852,12835.143,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNLYTczdHU1aFlrREZkSTVzd0FkN2pJWExn,PWRO-,1728619570772287,12837.118,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNNbVk4Tnk1aFlrREZmM01sQWtkLWNRS0Jn,:grinning_cat:,1728619573154599,12839.499,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNOUzkzZDI1aFlrREZkS0s1UWNkcWFjVTFR,:chillwcat:,1728619574945752,12841.295,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNPdjJ5Ti01aFlrREZTTE1sQWtkbEVFVnpR,:bread:,1728619578802711,12845.182,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNMT1E3ZUc1aFlrREZkY09Md2dkYjJ3SEFB,:banana::banana:,1728619583592639,12849.945,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNJSGE4dVM1aFlrREZaYWE1UWNkVElJaGxn,:banana:,1728619589975511,12856.327,Mew Verthandy,UCvMlQFNrotDeMpwNlf7A23g
ChwKGkNOT2M0LWU1aFlrREZja1dyUVlkTmRVQnZ3,the moment of dread,1728619596010254,12862.432,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLejJ4dW01aFlrREZaV2Y1UWNkY2pJWTJn,:red_apple:,1728619599742398,12866.086,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
